,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed(mph),Date
341,aklavik,CA,68.22,-135.01,30.2,80,20,4.7,1603489656
342,chifeng,CN,42.27,118.96,36.57,71,0,7.23,1603490132
343,batagay-alyta,RU,67.8,130.41,9.91,90,100,3.36,1603490132
344,bakchar,RU,57.02,82.07,28.38,97,100,6.2,1603490132
345,imeni poliny osipenko,RU,52.42,136.49,32.14,96,100,32.41,1603490132
346,ribeira grande,PT,38.52,-28.7,66.76,77,56,20.36,1603489492
347,balsas,BR,-7.53,-46.04,83.73,53,70,3.62,1603490133
348,inzhavino,RU,52.32,42.49,53.62,86,100,9.08,1603490133
349,georgetown,MY,5.41,100.34,78.8,94,20,3.51,1603489806
350,plettenberg bay,ZA,-34.05,23.37,64.44,87,53,6.91,1603490126
351,sioux lookout,CA,50.1,-91.92,32.0,92,90,8.05,1603489993
352,kolyvan,RU,55.31,82.74,30.2,86,100,6.71,1603490134
353,luang prabang,LA,19.89,102.13,61.56,68,99,1.1,1603490134
354,iqaluit,CA,63.75,-68.51,30.2,80,90,4.7,1603489657
355,luderitz,NA,-26.65,15.16,59.68,79,0,7.2,1603489646
356,volda,NO,62.15,6.07,41.0,86,75,8.05,1603490135
357,lypova dolyna,UA,50.56,33.8,56.43,63,100,6.6,1603490135
358,maumere,ID,-8.62,122.21,79.93,80,37,3.78,1603490135
359,lydenburg,ZA,-25.1,30.46,66.99,83,0,1.45,1603490135
360,inta,RU,66.03,60.17,14.58,93,1,4.88,1603490136
361,olafsvik,IS,64.89,-23.71,44.46,80,91,22.68,1603489495
362,fauske,NO,67.26,15.39,35.01,94,96,5.55,1603490136
363,araouane,ML,18.9,-3.53,89.17,12,24,2.73,1603490136
364,mount isa,AU,-20.73,139.5,69.8,88,0,10.16,1603489674
365,mastic beach,US,40.77,-72.85,63.0,82,90,3.36,1603490136
366,markala,ML,13.7,-6.07,84.42,20,24,6.53,1603490137
367,alofi,NU,-19.06,-169.92,80.6,78,75,17.22,1603489831
368,sept-iles,CA,50.2,-66.38,37.0,69,90,10.29,1603489644
369,nantucket,US,41.28,-70.1,59.0,87,75,12.75,1603490133
370,yomou,GN,7.56,-9.27,70.54,94,44,1.03,1603490138
371,gravelbourg,CA,49.88,-106.55,18.46,90,0,2.89,1603490138
372,zyryanka,RU,65.75,150.85,15.55,94,0,6.78,1603490148
373,kidal,ML,18.44,1.41,85.53,14,0,10.0,1603490145
374,hovd,MN,48.01,91.64,36.9,68,100,3.62,1603490149
375,north bend,US,43.41,-124.22,73.0,44,90,4.7,1603489670
376,amuntai,ID,-2.42,115.25,73.94,92,95,1.3,1603490149
377,kholodnyy,RU,62.72,147.95,19.44,93,67,1.23,1603490150
378,elko,US,41.0,-115.5,55.99,16,25,8.99,1603490150
379,sonoita,MX,31.85,-112.83,90.0,23,7,5.01,1603490150
380,west wendover,US,40.74,-114.07,46.4,22,1,3.36,1603490150
381,santa cruz cabralia,BR,-16.28,-39.02,71.6,88,90,4.7,1603490150
382,mareeba,AU,-17.0,145.43,77.0,78,76,2.8,1603490150
383,fuxin,CN,42.02,121.66,37.29,69,0,3.78,1603490151
384,mwinilunga,ZM,-11.74,24.43,66.99,52,44,2.01,1603490151
385,skibotn,NO,69.39,20.27,37.4,86,75,31.09,1603490151
386,yulara,AU,-25.24,130.99,59.0,72,5,10.29,1603489651
387,talnakh,RU,69.49,88.4,-4.0,83,40,8.95,1603489375
388,vaitape,PF,-16.52,-151.75,79.72,73,12,8.79,1603490152
389,marsa matruh,EG,31.35,27.25,66.2,72,0,1.59,1603490152
390,halifax,CA,44.65,-63.57,52.0,84,34,3.0,1603489510
391,nizhnyaya tavda,RU,57.67,66.17,23.79,91,0,5.12,1603490152
392,funadhoo,MV,6.15,73.27,81.59,79,60,14.36,1603490152
393,antofagasta,CL,-23.65,-70.4,60.8,77,90,17.22,1603489977
394,rocha,UY,-34.48,-54.33,62.74,95,75,5.82,1603489973
395,noumea,NC,-22.28,166.46,82.4,54,0,4.7,1603489510
396,fomboni,KM,-12.28,43.74,79.75,76,11,9.13,1603490153
397,sobolevo,RU,54.43,31.9,48.04,91,14,8.63,1603490128
398,svetlogorsk,BY,52.63,29.73,48.99,95,98,6.08,1603489953
399,casper,US,42.87,-106.31,28.99,74,1,5.82,1603490153
400,northam,GB,51.03,-4.22,46.99,87,74,7.0,1603489439
401,shimoda,JP,34.67,138.95,64.6,73,39,5.32,1603489663
402,cooma,AU,-36.23,149.13,59.0,87,75,9.17,1603490154
403,poum,NC,-20.23,164.02,77.92,77,0,15.86,1603489661
404,altamira,BR,-3.2,-52.21,83.52,61,61,2.57,1603490154
405,touros,BR,-5.2,-35.46,77.0,94,40,5.82,1603489666
406,bhachau,IN,23.28,70.35,79.25,43,0,8.72,1603490155
407,the valley,AI,18.22,-63.06,86.0,83,20,13.87,1603489674
408,baneh,IR,36.0,45.89,49.26,49,0,6.55,1603490155
409,belmonte,BR,-15.86,-38.88,73.4,83,90,11.41,1603489664
410,zheshart,RU,62.07,49.57,28.18,98,100,10.76,1603490156
411,itacarambi,BR,-15.1,-44.09,76.1,72,75,7.2,1603490156
412,elbrus,RU,43.26,42.64,46.0,55,0,4.97,1603490156
413,san ignacio,BZ,17.16,-89.07,90.0,66,40,4.7,1603490131
414,luanda,AO,-8.84,13.23,77.0,78,40,8.05,1603490147
415,iseyin,NG,7.97,3.6,73.24,92,54,3.53,1603490156
416,bowen,AU,-20.02,148.23,73.4,88,100,3.36,1603490157
417,prince rupert,CA,54.32,-130.32,44.6,45,1,5.82,1603490132
418,zlitan,LY,32.47,14.57,67.98,60,0,8.63,1603490167
419,sambava,MG,-14.27,50.17,71.46,83,23,9.69,1603489645
420,kalabo,ZM,-14.97,22.68,73.74,26,4,3.67,1603490151
421,daye,CN,30.08,114.95,53.82,61,75,5.1,1603490168
422,sijunjung,ID,-0.69,100.95,73.9,89,100,0.43,1603490168
423,jasper,US,37.2,-94.35,45.0,70,90,13.87,1603490168
424,chapais,CA,49.78,-74.85,33.8,100,90,8.05,1603490138
425,walvis bay,NA,-22.96,14.51,60.01,82,99,3.36,1603490169
426,zhezkazgan,KZ,47.8,67.71,27.77,87,0,7.09,1603490169
427,kamaishi,JP,39.27,141.88,50.74,65,3,7.49,1603490169
428,coquimbo,CL,-29.95,-71.34,57.2,76,75,10.29,1603489668
429,ransang,PH,8.96,117.58,80.17,81,100,6.76,1603490169
430,rawson,AR,-43.3,-65.1,75.94,35,85,25.19,1603489643
431,meulaboh,ID,4.14,96.13,77.76,86,100,3.85,1603490142
432,santa cruz,BO,-17.8,-63.17,95.0,41,20,14.99,1603489921
433,conceicao do araguaia,BR,-8.26,-49.26,84.02,57,100,6.33,1603490170
434,westport,US,41.14,-73.36,64.99,88,90,6.93,1603489367
435,auki,SB,-8.77,160.7,84.52,65,37,3.18,1603489652
436,champerico,GT,14.3,-91.92,87.8,74,75,6.93,1603489656
437,hervey bay,AU,-25.3,152.85,79.0,88,75,8.05,1603489982
438,belogorsk,RU,50.92,128.46,27.16,89,0,16.55,1603490171
439,necochea,AR,-38.55,-58.74,59.0,83,31,5.01,1603490148
440,margate,GB,51.38,1.39,54.0,87,58,1.99,1603490148
441,mumford,GH,5.26,-0.76,77.94,90,63,8.48,1603490171
442,derzhavinsk,KZ,51.1,66.32,27.77,86,7,7.16,1603490172
443,guerrero negro,MX,27.98,-114.06,73.27,59,52,15.1,1603489644
444,mattru,SL,7.62,-11.83,74.91,95,100,2.06,1603490172
445,asau,RO,46.43,26.4,51.01,78,56,6.33,1603489663
446,nabire,ID,-3.37,135.48,75.36,92,100,4.54,1603490129
447,maryborough,AU,-25.53,152.7,76.41,67,100,7.29,1603490173
448,carauari,BR,-4.88,-66.9,78.75,92,98,3.15,1603490173
449,mirnyy,RU,62.54,113.96,26.6,58,0,13.42,1603490173
450,san fernando,PH,15.03,120.69,75.2,100,75,2.24,1603490173
451,veraval,IN,20.9,70.37,81.3,53,0,5.7,1603490173
452,knin,HR,44.04,16.2,59.0,77,0,3.36,1603490174
453,yanaul,RU,56.27,54.93,35.46,96,100,15.41,1603490174
454,puerto rondon,CO,6.28,-71.1,76.41,92,100,1.61,1603490174
455,sokolovo,RU,52.53,84.79,32.41,97,100,4.99,1603490174
456,sistranda,NO,63.73,8.83,35.6,69,0,10.29,1603490175
457,vardo,NO,70.37,31.11,39.2,86,75,29.97,1603489652
458,otoka,BA,44.96,16.18,55.42,81,100,3.11,1603490175
459,krutinka,RU,56.01,71.51,25.16,90,100,12.59,1603490175
460,oranjemund,NA,-28.55,16.43,59.4,83,0,2.37,1603490126
461,astana,KZ,51.18,71.45,17.6,85,0,11.18,1603490176
462,altay,CN,47.87,88.12,42.03,68,100,3.98,1603490176
463,sabya,SA,17.15,42.63,84.2,74,0,2.01,1603490186
464,ariquemes,BR,-9.91,-63.04,81.43,68,86,1.68,1603490186
465,shingu,JP,33.73,135.98,53.42,80,0,6.04,1603489476
466,srednekolymsk,RU,67.45,153.68,15.46,91,0,3.33,1603489655
467,ust-maya,RU,60.42,134.53,7.83,94,0,0.34,1603490152
468,cayenne,GF,4.93,-52.33,84.2,74,0,5.82,1603490146
469,sibu,MY,2.3,111.82,77.0,94,40,2.24,1603490187
470,boa vista,BR,2.82,-60.67,91.4,43,40,4.7,1603490187
471,rawah,IQ,34.48,41.91,72.01,21,99,8.3,1603490187
472,sovetskiy,RU,61.36,63.58,21.85,94,0,3.36,1603490188
473,ternate,ID,0.8,127.4,81.16,81,73,1.9,1603490131
474,portland,US,45.52,-122.68,52.0,66,90,9.17,1603489764
475,pontianak,ID,-0.03,109.33,76.41,92,100,3.06,1603490188
476,aykhal,RU,66.0,111.5,17.6,67,90,11.18,1603490151
477,pochutla,MX,15.74,-96.47,88.0,66,40,6.04,1603490188
478,pamekasan,ID,-7.16,113.47,80.46,78,1,1.83,1603490189
479,bronnoysund,NO,65.46,12.2,39.2,86,75,3.36,1603490189
480,pokrovskoye,RU,47.42,38.9,57.96,94,84,11.01,1603490189
481,inhambane,MZ,-23.86,35.38,70.07,84,0,5.73,1603489901
482,bengkulu,ID,-3.8,102.27,75.33,92,100,6.26,1603489528
483,kloulklubed,PW,7.04,134.26,77.0,94,75,12.64,1603490143
484,kanina,CD,-10.73,25.47,69.46,56,75,3.29,1603490190
485,ribeira brava,PT,32.65,-17.07,66.2,63,40,4.7,1603490190
486,pindi gheb,PK,33.24,72.27,59.0,72,0,5.82,1603490190
487,plouzane,FR,48.38,-4.62,53.6,93,75,11.41,1603490191
488,lewiston,US,44.1,-70.21,55.4,76,90,6.93,1603490144
489,ormara,PK,25.21,64.64,79.45,29,0,26.8,1603490191
490,gamba,GA,-2.65,10.0,76.91,87,100,7.49,1603489660
491,nizhniy kuranakh,RU,58.84,125.49,19.78,94,59,1.83,1603490191
492,kaliua,TZ,-5.06,31.79,75.18,51,40,3.83,1603490192
493,omboue,GA,-1.57,9.26,76.82,89,100,7.65,1603490192
494,tiarei,PF,-17.53,-149.33,84.2,66,75,13.87,1603490192
495,verkhnyaya balkariya,RU,43.13,43.46,51.8,44,0,4.47,1603490192
496,port lincoln,AU,-34.73,135.87,54.91,72,87,21.25,1603489444
497,khanpur,PK,28.65,70.66,66.74,22,0,3.49,1603490193
498,namibe,AO,-15.2,12.15,70.66,78,90,6.71,1603489471
499,yuanping,CN,38.72,112.76,39.74,60,0,1.14,1603490193
500,birao,CF,10.28,22.79,74.98,75,99,3.36,1603490193
501,kalyazin,RU,57.24,37.84,47.46,88,74,11.97,1603490193
502,atherton,GB,53.52,-2.49,46.0,78,76,3.0,1603490194
503,ojinaga,MX,29.57,-104.42,91.4,18,1,11.41,1603490194
504,chumikan,RU,54.72,135.31,30.56,86,100,11.39,1603490194
505,abha,SA,18.22,42.51,62.6,23,0,9.24,1603490194
506,evensk,RU,61.95,159.23,30.88,93,35,4.18,1603490195
507,ha giang,VN,22.83,104.98,61.72,62,100,2.66,1603490195
508,balotra,IN,25.83,72.23,79.0,24,0,5.55,1603490195
509,sudzha,RU,51.2,35.27,56.3,71,100,9.42,1603490205
510,atambua,ID,-9.11,124.89,76.84,80,12,2.17,1603490140
511,santa marta,CO,11.24,-74.2,87.01,75,98,1.01,1603489975
512,makakilo city,US,21.35,-158.09,80.6,78,75,10.29,1603489557
513,shimanovsk,RU,52.0,127.7,25.07,86,0,12.8,1603490206
514,shakawe,BW,-18.37,21.85,73.44,23,0,6.49,1603490206
515,sidi ali,DZ,36.1,0.42,63.27,80,100,5.1,1603490206
516,turtas,RU,58.94,69.13,19.89,97,2,4.16,1603490127
517,new plymouth,NZ,-39.07,174.08,55.99,95,91,7.0,1603490207
518,palimbang,PH,6.21,124.19,78.48,80,100,6.82,1603490207
519,osorno,CL,-40.57,-73.15,57.2,71,90,5.82,1603490207
520,salinopolis,BR,-0.61,-47.36,79.66,80,36,11.63,1603490207
521,jalingo,NG,8.88,11.37,77.67,79,100,3.15,1603490208
522,hilton head island,US,32.22,-80.75,78.8,69,20,4.7,1603489934
523,santa fe,AR,-31.63,-60.7,75.0,89,87,3.0,1603490148
524,ust-tsilma,RU,65.44,52.15,24.55,91,100,10.58,1603489665
525,burla,IN,21.5,83.87,71.98,74,19,2.57,1603490208
526,stromness,GB,58.97,-3.3,41.0,86,0,8.05,1603490209
527,bac lieu,VN,9.29,105.72,77.2,86,100,2.04,1603490209
528,ishigaki,JP,24.34,124.16,71.6,73,75,16.11,1603489662
529,belyy yar,RU,53.6,91.39,32.0,78,0,2.24,1603490209
530,shelburne,CA,44.08,-80.2,75.2,60,75,25.28,1603490127
531,uvira,CD,-3.41,29.15,74.52,60,6,3.74,1603490210
532,lashio,MM,22.93,97.75,65.7,90,100,1.5,1603490210
533,jadu,LY,31.95,12.03,67.53,29,0,11.56,1603489978
534,vilyuysk,RU,63.76,121.62,24.08,96,85,6.85,1603490210
535,yablonovo,RU,50.85,37.36,55.4,71,0,6.71,1603490210
536,caluquembe,AO,-13.78,14.68,66.99,63,93,1.7,1603490210
537,gweru,ZW,-19.45,29.82,62.53,68,0,4.9,1603490211
538,karaton,ID,-6.34,106.1,77.0,83,20,4.7,1603490211
539,sao borja,BR,-28.66,-56.0,71.56,87,100,8.79,1603490211
540,adre,TD,13.47,22.2,77.31,18,3,10.25,1603490211
541,marawi,PH,8.0,124.29,73.99,94,100,3.0,1603489496
542,kharp,RU,66.8,65.81,20.64,94,100,6.38,1603490212
543,gallup,US,35.53,-108.74,73.4,14,1,19.46,1603490212
544,barranca,PE,-10.75,-77.77,64.44,76,88,7.81,1603490212
545,bela vista,BR,-22.11,-56.52,78.4,67,35,4.16,1603490212
546,olaine,LV,56.79,23.94,50.0,81,40,5.82,1603490212
547,magadi,IN,12.97,77.23,64.4,100,40,6.93,1603490213
548,prachuap khiri khan,TH,12.22,99.75,69.93,85,100,2.46,1603490213
549,weinfelden,CH,47.57,9.1,55.0,96,100,4.07,1603490213
550,caceres,ES,39.52,-6.37,52.0,88,0,3.13,1603490213
551,mukhtolovo,RU,55.46,43.2,49.95,92,80,9.89,1603490213
552,grand forks,US,47.94,-97.43,33.8,94,75,16.11,1603489925
553,alvorada,BR,-12.48,-49.12,80.71,62,69,9.37,1603490128
554,qaqortoq,GL,60.72,-46.03,28.4,68,95,1.12,1603489832
555,jackson,US,42.42,-122.83,66.0,18,1,2.42,1603490102
556,mahajanga,MG,-15.72,46.32,82.4,45,20,10.29,1603490224
557,srinagar,IN,34.08,74.82,47.19,50,0,0.87,1603490224
558,balaka,MW,-14.98,34.96,73.87,47,0,0.65,1603490225
559,pisco,PE,-13.7,-76.22,66.2,72,0,24.16,1603489469
560,almeirim,BR,-1.52,-52.58,85.24,58,19,2.53,1603490225
561,rio grande,BR,-32.03,-52.1,71.01,86,100,9.73,1603489641
562,etchojoa,MX,26.92,-109.63,96.01,41,0,10.0,1603490225
563,kaiwaka,NZ,-36.17,174.45,72.0,72,21,7.18,1603490225
564,nelson bay,AU,-32.72,152.15,68.0,94,75,8.05,1603490154
565,thaba-tseka,LS,-29.52,28.61,57.9,60,90,3.69,1603490226
566,nirmal,IN,19.1,78.35,71.51,69,46,1.74,1603490226
567,palauig,PH,15.44,119.9,79.84,75,90,5.06,1603489650
568,ponta delgada,PT,37.73,-25.67,66.2,72,75,13.87,1603489627
569,marshfield,US,44.67,-90.17,37.4,74,90,17.22,1603489976
570,kralendijk,BQ,12.15,-68.27,87.8,66,40,19.46,1603490227
571,yerbogachen,RU,61.28,108.01,25.66,98,92,4.65,1603489547
572,sebring,US,27.5,-81.44,80.6,74,90,12.75,1603490224
573,atasu,KZ,48.68,71.64,26.13,89,0,7.81,1603490145
574,tazovskiy,RU,67.47,78.7,20.48,98,100,8.34,1603489646
575,biak,ID,-0.91,122.88,77.4,80,6,1.57,1603489833
576,syrskoye,RU,52.57,39.5,55.4,76,0,11.18,1603490228
577,nokaneng,BW,-19.67,22.27,75.51,25,2,7.61,1603490228
578,whitianga,NZ,-36.83,175.7,65.35,68,4,4.45,1603490228
579,athabasca,CA,54.72,-113.29,21.63,80,81,3.58,1603489955
580,roald,NO,62.58,6.13,41.0,60,100,11.41,1603490138
581,mustasaari,FI,63.11,21.68,37.99,81,0,5.82,1603490229
582,luchegorsk,RU,46.48,134.26,33.1,89,100,15.5,1603490229
583,boralday,KZ,43.36,76.86,41.0,86,90,6.71,1603490229
584,bukene,TZ,-4.23,32.88,77.59,45,95,3.87,1603490229
585,liwale,TZ,-9.77,37.93,72.91,79,57,4.74,1603490229
586,zhicheng,CN,30.3,111.5,60.01,67,82,2.48,1603490230
587,alzamay,RU,55.56,98.66,36.05,92,95,3.94,1603490230
588,ottawa,CA,45.41,-75.7,75.2,60,40,17.22,1603490050
589,saint anthony,US,45.02,-93.22,36.0,69,90,13.87,1603489925
590,burnie,AU,-41.07,145.92,54.16,61,100,12.82,1603490136
591,hualmay,PE,-11.1,-77.61,65.19,74,71,6.71,1603489666
592,turukhansk,RU,65.82,87.98,9.18,96,96,8.66,1603490230
593,roatan,HN,16.32,-86.54,84.2,83,75,9.17,1603490231
594,sanjwal,PK,33.76,72.43,63.0,72,0,5.82,1603490231
595,soria,ES,41.67,-2.67,45.0,90,0,5.79,1603490231
596,jacmel,HT,18.23,-72.53,91.4,55,40,18.34,1603490231
597,severobaykalsk,RU,55.65,109.32,36.63,76,34,2.84,1603490231
598,bahia honda,CU,22.9,-83.16,82.11,81,87,9.98,1603489640
599,werda,BW,-25.27,23.28,81.59,22,30,5.88,1603490232
600,wajima,JP,37.4,136.9,54.55,65,94,10.22,1603490232
601,santa isabel,BR,-23.32,-46.22,71.6,68,0,6.93,1603490242
602,acajutla,SV,13.59,-89.83,82.4,74,20,2.24,1603489421
603,townsville,AU,-19.25,146.8,78.8,78,75,9.17,1603490242
604,lakes entrance,AU,-37.88,147.98,62.01,97,100,6.24,1603490150
605,bolshevik,BY,54.01,27.57,46.4,100,35,8.95,1603490243
606,adrar,MR,20.5,-10.07,88.97,14,52,7.02,1603489445
607,middelburg,ZA,-25.78,29.46,68.61,55,2,5.66,1603490243
608,taltal,CL,-25.4,-70.48,62.35,64,22,3.94,1603489365
609,tazmalt,DZ,36.39,4.4,69.8,73,40,3.36,1603490243
610,nobeoka,JP,32.58,131.67,51.55,65,0,7.14,1603490244
611,nichinan,JP,31.6,131.37,53.6,66,20,14.99,1603490244
612,sinegorye,RU,62.08,150.48,30.33,92,95,4.5,1603490244
613,awjilah,LY,29.11,21.29,65.93,74,3,13.09,1603490149
614,lac du bonnet,CA,50.25,-96.06,30.0,98,85,5.99,1603490244
615,sayat,TM,38.78,63.88,44.6,52,0,2.24,1603490244
616,filadelfia,US,39.95,-75.16,71.6,73,75,8.05,1603490091
617,khangarh,PK,29.92,71.16,71.6,64,0,3.85,1603490245
618,belaya gora,RU,68.53,146.42,5.76,87,21,2.75,1603490126
619,manuk mangkaw,PH,4.8,119.85,83.21,75,98,8.16,1603490245
620,narsaq,GL,60.92,-46.05,28.4,68,98,1.12,1603489414
621,conde,BR,-7.26,-34.91,78.8,83,20,11.41,1603490136
622,la ronge,CA,55.1,-105.28,24.8,68,90,11.41,1603489668
623,dudinka,RU,69.41,86.18,-4.0,83,40,8.95,1603490246
624,zalari,RU,53.56,102.51,35.29,91,80,2.1,1603490246
625,mana,GF,5.66,-53.78,82.15,78,46,11.92,1603490246
626,shar,KZ,49.59,81.05,33.8,88,97,6.2,1603490246
627,kutum,SD,14.2,24.67,74.12,19,28,10.65,1603490247
628,dodge city,US,37.75,-100.02,46.4,42,20,21.92,1603490247
629,praia,CV,14.92,-23.51,78.8,78,40,16.11,1603489833
630,novaya igirma,RU,57.13,103.91,32.97,95,90,0.76,1603490247
631,zheleznodorozhnyy,RU,55.75,38.0,52.0,87,75,8.95,1603490247
632,takoradi,GH,4.88,-1.76,77.38,90,33,7.45,1603490248
633,chelmno,PL,53.35,18.43,55.99,72,100,1.01,1603490248
634,general roca,AR,-39.03,-67.58,82.4,37,0,5.82,1603490127
635,sosnovo-ozerskoye,RU,52.52,111.54,26.06,96,32,2.55,1603489659
636,ati,TD,13.22,18.34,87.06,13,17,11.03,1603490248
637,krumovgrad,BG,41.47,25.65,59.0,78,0,3.2,1603490248
638,ossora,RU,59.24,163.07,39.78,70,0,2.82,1603490249
639,ust-omchug,RU,61.15,149.63,29.07,96,100,2.26,1603490249
640,ahipara,NZ,-35.17,173.17,68.07,69,55,6.06,1603490150
641,perth,AU,-31.93,115.83,55.99,62,0,17.22,1603490163
642,montrose,US,38.42,-108.27,64.99,24,1,5.82,1603490249
643,freeport,US,40.66,-73.58,64.99,82,90,5.82,1603490250
644,santiago del estero,AR,-27.8,-64.26,82.02,59,29,2.93,1603490250
645,barentin,FR,49.55,0.96,53.01,100,90,9.17,1603490250
646,wanning,CN,18.8,110.4,72.25,61,100,15.48,1603490250
647,honiara,SB,-9.43,159.95,82.4,78,20,3.36,1603489969
648,nambucca heads,AU,-30.65,153.0,69.8,88,75,8.05,1603490251
649,pegnitz,DE,49.76,11.54,55.4,93,90,8.68,1603490261
650,corrente,BR,-3.74,-43.34,82.92,65,87,8.61,1603490261
651,vestmanna,FO,62.16,-7.17,42.8,93,26,4.7,1603489666
652,turner,US,44.26,-70.26,55.99,71,62,4.0,1603490261
653,port augusta,AU,-32.5,137.77,57.2,67,90,18.34,1603490261
654,keti bandar,PK,24.14,67.45,80.31,61,0,11.16,1603490262
655,barillas,GT,15.8,-91.32,68.72,89,86,1.61,1603490262
656,dabwali,IN,29.95,74.73,67.3,25,0,3.22,1603490262
657,aksarayskiy,RU,46.79,48.01,50.0,93,86,6.71,1603490262
658,talcahuano,CL,-36.72,-73.12,59.0,72,75,14.99,1603490026
659,bandarbeyla,SO,9.49,50.81,76.6,78,100,2.13,1603490131
660,misratah,LY,32.38,15.09,70.18,58,0,8.19,1603490263
661,krabi,TH,8.07,98.91,73.4,94,90,2.24,1603490263
662,parabel,RU,58.7,81.48,28.87,99,100,0.81,1603490263
663,jiangyou,CN,31.77,104.72,62.38,70,97,2.55,1603490263
664,barcelos,PT,41.54,-8.62,55.4,93,20,6.93,1603490263
665,asfi,MA,32.3,-9.24,66.15,71,0,14.63,1603489857
666,tecoanapa,MX,16.52,-98.75,85.33,70,100,10.11,1603489673
667,dalby,AU,-27.18,151.27,70.0,77,100,5.99,1603490264
668,havre-saint-pierre,CA,50.23,-63.6,35.6,74,90,5.82,1603490264
669,mesyagutovo,RU,55.53,58.25,27.52,92,86,8.23,1603490264
670,jiuquan,CN,39.74,98.52,36.52,67,0,1.39,1603489666
671,uige,AO,-7.61,15.06,68.72,96,100,1.52,1603490265
672,orbetello,IT,42.44,11.22,66.2,88,75,10.29,1603490265
673,humaita,BR,-7.51,-63.02,76.3,94,100,3.56,1603490265
674,ostersund,SE,63.18,14.64,32.0,95,20,8.05,1603490265
675,high level,CA,58.52,-117.14,28.4,63,40,5.82,1603490266
676,kibala,TD,9.11,18.35,80.6,83,20,3.27,1603490266
677,helsinki,FI,60.17,24.94,35.01,86,20,6.93,1603490221
678,eskisehir,TR,39.78,30.52,48.2,93,0,3.36,1603490266
679,timra,SE,62.49,17.33,34.0,100,0,4.7,1603490266
680,flinders,AU,-34.58,150.86,69.01,92,99,1.01,1603490267
681,lexington,US,37.99,-84.48,70.0,82,1,6.93,1603489968
682,mossendjo,CG,-2.95,12.73,71.96,97,100,4.99,1603490267
683,aulla,IT,44.21,9.97,66.99,87,100,4.0,1603490267
